route_id,service_id,trip_id,trip_headsign,direction_id,block_id
6,1,508,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,509,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,510,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,511,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,512,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,513,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,514,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,515,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,516,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,517,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,518,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,519,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,520,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,521,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,522,"HOBOKEN/TONNELLE",0,"170B42031"
6,1,523,"HOBOKEN/TONNELLE",0,"170B42032"
6,1,524,"HOBOKEN/TONNELLE",0,"170B42052"
6,1,525,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,526,"HOBOKEN/TONNELLE",0,"170B42055"
6,1,527,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,528,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,529,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,530,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,531,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,532,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,533,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,534,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,535,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,536,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,537,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,538,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,539,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,540,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,541,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,542,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,543,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,544,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,545,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,546,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,547,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,548,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,549,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,550,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,551,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,552,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,553,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,554,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,555,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,556,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,557,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,558,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,559,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,560,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,561,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,562,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,563,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,564,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,565,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,566,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,567,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,568,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,569,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,570,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,571,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,572,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,573,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,574,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,575,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,576,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,577,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,578,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,579,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,580,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,581,"HOBOKEN/TONNELLE",0,"170B42003"
6,1,582,"HOBOKEN/TONNELLE",0,"170B42004"
6,1,583,"HOBOKEN/TONNELLE",0,"170B42001"
6,1,584,"HOBOKEN/TONNELLE",0,"170B42002"
6,1,585,"HOBOKEN/TONNELLE",0,"170B42003"
