trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
493,22:33:00,22:33:00,37005,3,0,0,1.7907
493,22:35:00,22:35:00,37004,4,0,0,2.3530
493,22:37:00,22:37:00,37003,5,0,0,3.5631
493,22:38:00,22:38:00,37002,6,0,0,4.2112
493,22:41:00,22:41:00,36998,7,0,0,5.6330
493,22:44:00,22:44:00,36997,8,0,0,6.3144
493,22:45:00,22:45:00,36996,9,0,0,6.5917
493,22:47:00,22:47:00,36995,10,0,0,6.9996
493,22:49:00,22:49:00,36994,11,0,0,7.2936
493,22:51:00,22:51:00,37376,12,0,0,7.5424
493,22:53:00,22:53:00,37377,13,0,0,7.8892
493,22:56:00,22:56:00,37378,14,0,0,8.1822
493,23:00:00,23:00:00,39348,15,0,0,9.1400
494,22:49:00,22:49:00,42673,1,0,0,0.0000
494,22:51:00,22:51:00,38229,2,0,0,0.9303
494,22:53:00,22:53:00,37005,3,0,0,1.7907
494,22:55:00,22:55:00,37004,4,0,0,2.3530
494,22:57:00,22:57:00,37003,5,0,0,3.5631
494,22:58:00,22:58:00,37002,6,0,0,4.2112
494,23:01:00,23:01:00,36998,7,0,0,5.6330
494,23:04:00,23:04:00,36997,8,0,0,6.3144
494,23:05:00,23:05:00,36996,9,0,0,6.5917
494,23:07:00,23:07:00,36995,10,0,0,6.9996
494,23:09:00,23:09:00,36994,11,0,0,7.2936
494,23:11:00,23:11:00,37376,12,0,0,7.5424
494,23:13:00,23:13:00,37377,13,0,0,7.8892
494,23:16:00,23:16:00,37378,14,0,0,8.1822
494,23:20:00,23:20:00,39348,15,0,0,9.1400
495,23:09:00,23:09:00,42673,1,0,0,0.0000
495,23:11:00,23:11:00,38229,2,0,0,0.9303
495,23:13:00,23:13:00,37005,3,0,0,1.7907
495,23:15:00,23:15:00,37004,4,0,0,2.3530
495,23:17:00,23:17:00,37003,5,0,0,3.5631
495,23:18:00,23:18:00,37002,6,0,0,4.2112
495,23:21:00,23:21:00,36998,7,0,0,5.6330
495,23:24:00,23:24:00,36997,8,0,0,6.3144
495,23:25:00,23:25:00,36996,9,0,0,6.5917
495,23:27:00,23:27:00,36995,10,0,0,6.9996
495,23:29:00,23:29:00,36994,11,0,0,7.2936
495,23:31:00,23:31:00,37376,12,0,0,7.5424
495,23:33:00,23:33:00,37377,13,0,0,7.8892
495,23:36:00,23:36:00,37378,14,0,0,8.1822
495,23:40:00,23:40:00,39348,15,0,0,9.1400
496,23:29:00,23:29:00,42673,1,0,0,0.0000
496,23:31:00,23:31:00,38229,2,0,0,0.9303
496,23:33:00,23:33:00,37005,3,0,0,1.7907
496,23:35:00,23:35:00,37004,4,0,0,2.3530
496,23:37:00,23:37:00,37003,5,0,0,3.5631
496,23:38:00,23:38:00,37002,6,0,0,4.2112
496,23:41:00,23:41:00,36998,7,0,0,5.6330
496,23:44:00,23:44:00,36997,8,0,0,6.3144
496,23:45:00,23:45:00,36996,9,0,0,6.5917
496,23:47:00,23:47:00,36995,10,0,0,6.9996
496,23:49:00,23:49:00,36994,11,0,0,7.2936
496,23:51:00,23:51:00,37376,12,0,0,7.5424
496,23:53:00,23:53:00,37377,13,0,0,7.8892
496,23:56:00,23:56:00,37378,14,0,0,8.1822
496,24:00:00,24:00:00,39348,15,0,0,9.1400
497,23:49:00,23:49:00,42673,1,0,0,0.0000
497,23:51:00,23:51:00,38229,2,0,0,0.9303
497,23:53:00,23:53:00,37005,3,0,0,1.7907
497,23:55:00,23:55:00,37004,4,0,0,2.3530
497,23:57:00,23:57:00,37003,5,0,0,3.5631
497,23:58:00,23:58:00,37002,6,0,0,4.2112
497,24:01:00,24:01:00,36998,7,0,0,5.6330
497,24:04:00,24:04:00,36997,8,0,0,6.3144
497,24:05:00,24:05:00,36996,9,0,0,6.5917
497,24:07:00,24:07:00,36995,10,0,0,6.9996
497,24:09:00,24:09:00,36994,11,0,0,7.2936
497,24:11:00,24:11:00,37376,12,0,0,7.5424
497,24:13:00,24:13:00,37377,13,0,0,7.8892
497,24:16:00,24:16:00,37378,14,0,0,8.1822
497,24:20:00,24:20:00,39348,15,0,0,9.1400
498,24:20:00,24:20:00,42673,1,0,0,0.0000
498,24:22:00,24:22:00,38229,2,0,0,0.9303
498,24:24:00,24:24:00,37005,3,0,0,1.7907
498,24:26:00,24:26:00,37004,4,0,0,2.3530
498,24:28:00,24:28:00,37003,5,0,0,3.5631
498,24:29:00,24:29:00,37002,6,0,0,4.2112
498,24:32:00,24:32:00,36998,7,0,0,5.6330
498,24:35:00,24:35:00,36997,8,0,0,6.3144
498,24:36:00,24:36:00,36996,9,0,0,6.5917
498,24:38:00,24:38:00,36995,10,0,0,6.9996
498,24:40:00,24:40:00,36994,11,0,0,7.2936
498,24:42:00,24:42:00,37376,12,0,0,7.5424
498,24:44:00,24:44:00,37377,13,0,0,7.8892
498,24:47:00,24:47:00,37378,14,0,0,8.1822
498,24:51:00,24:51:00,39348,15,0,0,9.1400
499,24:54:00,24:54:00,42673,1,0,0,0.0000
499,24:56:00,24:56:00,38229,2,0,0,0.9303
499,24:58:00,24:58:00,37005,3,0,0,1.7907
499,25:00:00,25:00:00,37004,4,0,0,2.3530
499,25:02:00,25:02:00,37003,5,0,0,3.5631
499,25:03:00,25:03:00,37002,6,0,0,4.2112
499,25:06:00,25:06:00,36998,7,0,0,5.6330
499,25:09:00,25:09:00,36997,8,0,0,6.3144
499,25:10:00,25:10:00,36996,9,0,0,6.5917
499,25:12:00,25:12:00,36995,10,0,0,6.9996
499,25:14:00,25:14:00,36994,11,0,0,7.2936
499,25:16:00,25:16:00,37376,12,0,0,7.5424
499,25:18:00,25:18:00,37377,13,0,0,7.8892
499,25:21:00,25:21:00,37378,14,0,0,8.1822
499,25:25:00,25:25:00,39348,15,0,0,9.1400
